feedback_id,timestamp,audio_filename,predicted_label,actual_label,model_type,confidence,is_correct,user_comment,model_used
TEST_20251213_214543,2025-12-13T21:45:43.187475,test_audio.wav,Laki-laki,Laki-laki,lstm,0.85,True,Test feedback,
,2025-12-14T00:43:27.231145,,,Laki-laki,,,,,
,2025-12-14T00:53:23.803600,,,Laki-laki,,,,,
,2025-12-14T00:53:36.343110,,,Laki-laki,,,,,
,2025-12-14T00:53:43.884720,,,Laki-laki,,,,,
,2025-12-14T00:54:01.085201,,,Laki-laki,,,,,
,2025-12-14T00:54:05.558707,,,Laki-laki,,,,,
,2025-12-14T00:54:12.324604,,,Laki-laki,,,,,
TEST_20251214_010737,2025-12-14T01:07:37.019522,alan.wav,Laki-laki,Laki-laki,,99.86%,Yes,,LSTM
TEST_20251214_010801,2025-12-14T01:08:01.125717,april-2025.wav,Perempuan,,,100.00%,No,,LSTM
TEST_20251214_010814,2025-12-14T01:08:14.037104,april-2025.wav,Perempuan,Perempuan,,100.00%,Yes,,LSTM
